epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5512.92,0.88992,0.88096,0.98524,0.75165,0.65844,0.68058,0.54639,0.77317,0.60699,0.95197,3.39422e-05,3.39422e-05,3.39422e-05
41,5691.33,0.84911,0.76019,0.97436,0.77969,0.64368,0.68331,0.54943,0.77224,0.61466,0.95207,3.0992e-05,3.0992e-05,3.0992e-05
42,5826.95,0.83444,0.74151,0.9721,0.69492,0.6822,0.67426,0.5415,0.76382,0.59963,0.9492,2.80418e-05,2.80418e-05,2.80418e-05
43,5961.18,0.83061,0.72456,0.96846,0.73493,0.68262,0.68519,0.55009,0.76332,0.60157,0.94896,2.50916e-05,2.50916e-05,2.50916e-05
44,6095.98,0.82125,0.72587,0.96451,0.71436,0.69494,0.69037,0.55624,0.75966,0.59801,0.94658,2.21414e-05,2.21414e-05,2.21414e-05
45,6230.28,0.81953,0.71894,0.96586,0.7714,0.66038,0.68405,0.55157,0.75538,0.59089,0.94342,1.91912e-05,1.91912e-05,1.91912e-05
46,6365.79,0.80491,0.7008,0.95907,0.63083,0.71416,0.68667,0.55627,0.75754,0.59361,0.94346,1.6241e-05,1.6241e-05,1.6241e-05
47,6500.48,0.80306,0.69921,0.95449,0.71027,0.68463,0.68213,0.55411,0.75314,0.58998,0.94208,1.32908e-05,1.32908e-05,1.32908e-05
48,6635.24,0.79962,0.69509,0.95418,0.72459,0.69277,0.6851,0.55689,0.74741,0.59,0.94143,1.03406e-05,1.03406e-05,1.03406e-05
49,6769.85,0.80394,0.69925,0.95482,0.73978,0.69062,0.68366,0.55389,0.74963,0.58701,0.94158,7.3904e-06,7.3904e-06,7.3904e-06
50,6904,0.79268,0.68911,0.95203,0.66699,0.69468,0.69139,0.56233,0.74447,0.58002,0.9407,4.4402e-06,4.4402e-06,4.4402e-06
